id	uf	municipio	total	quantidade	percentual
4017	RR	CARACARAI	186	44	72.04
4018	RR	CAROEBE	99	17	78.79
4019	RR	IRACEMA	64	7	87.50
4020	RR	MUCAJAI	189	35	77.78
4021	RR	NORMANDIA	26	3	84.62
4022	RR	PACARAIMA	69	15	76.81
4023	RR	RORAINOPOLIS	202	49	69.31
4024	RR	SAO JOAO DA BALIZA	78	10	83.33
4025	RR	SAO LUIZ	75	19	74.67
4026	RR	UIRAMUTA	11	0	100.00
4027	RS	ACEGUA	92	76	16.30
4028	RS	AGUA SANTA	90	79	8.89
4029	RS	AGUDO	402	328	8.46
4030	RS	AJURICABA	238	208	10.08
4031	RS	ALECRIM	175	164	5.14
4032	RS	ALEGRETE	3709	2707	25.45
4033	RS	ALEGRIA	77	67	10.39
4034	RS	ALMIRANTE TAMANDARE DO SUL	50	44	10.00
4035	RS	ALPESTRE	140	118	13.57
4036	RS	ALTO ALEGRE	85	82	2.35
4037	RS	ALTO FELIZ	65	56	3.08
4038	RS	ALVORADA	5591	4040	26.35
4039	RS	AMARAL FERRADOR	173	147	13.87
4040	RS	AMETISTA DO SUL	141	106	23.40
4041	RS	ANDRE DA ROCHA	32	24	21.88
4042	RS	ANTA GORDA	106	62	1.89
4043	RS	ANTA ROSA	1	0	100.00
4044	RS	ANTONIO PRADO	232	213	6.90
4045	RS	ARAMBARE	80	70	12.50
4046	RS	ARARICA	131	119	9.16
4047	RS	ARATIBA	184	167	8.15
4048	RS	ARROIO DO MEIO	258	232	7.75
4049	RS	ARROIO DO PADRE	70	65	7.14
4050	RS	ARROIO DO SAL	260	227	12.31
4051	RS	ARROIO DO TIGRE	246	226	7.72
4052	RS	ARROIO DOS RATOS	299	246	16.39
4053	RS	ARROIO GRANDE	988	788	18.62
4054	RS	ARVOREZINHA	234	217	5.56
4055	RS	AUGUSTO PESTANA	176	160	7.95
4056	RS	AUREA	127	114	7.87
4057	RS	BAGE	6601	4820	25.27
4058	RS	BALNEARIO PINHAL	256	220	12.11
4059	RS	BARAO	148	136	7.43
4060	RS	BARAO DE COTEGIPE	204	194	3.43
4061	RS	BARAO DO TRIUNFO	207	195	4.83
4062	RS	BARRA DO GUARITA	103	97	4.85
4063	RS	BARRA DO QUARAI	183	123	27.87
4064	RS	BARRA DO RIBEIRO	260	213	16.15
4065	RS	BARRA DO RIO AZUL	57	44	8.77
4066	RS	BARRA FUNDA	130	103	19.23
4067	RS	BARRACAO	154	125	16.88
4068	RS	BARROS CASSAL	153	131	9.80
4069	RS	BENJAMIN CONSTANT DO SUL	50	31	24.00
4070	RS	BENTO GONCALVES	2261	1894	12.43
4071	RS	BLNEARIO PINHAL	1	1	0.00
4072	RS	BOA VISTA DAS MISSOES	54	46	14.81
4073	RS	BOA VISTA DO BURICA	195	178	7.69
4074	RS	BOA VISTA DO CADEADO	27	26	3.70
4075	RS	BOA VISTA DO INCRA	47	42	8.51
4076	RS	BOA VISTA DO SUL	23	21	4.35
4077	RS	BOM JESUS	171	130	20.47
4078	RS	BOM PRINCIPIO	255	239	5.88
4079	RS	BOM PROGRESSO	56	50	8.93
4080	RS	BOM RETIRO DO SUL	237	197	13.50
4081	RS	BOQUEIRAO DO LEAO	191	173	8.38
