id	uf	municipio	total	quantidade	percentual
1	AC	ACRELANDIA	455	114	70.77
2	AC	ASSIS BRASIL	183	37	69.95
3	AC	BRASILEIA	596	104	79.03
4	AC	BUJARI	337	55	79.23
5	AC	CAPIXABA	226	29	78.32
6	AC	CRUZEIRO DO SUL	5352	1092	74.89
7	AC	EPITACIOLANDIA	434	77	77.19
8	AC	FEIJO	670	164	68.96
9	AC	JORDAO	113	17	68.14
10	AC	MANCIO LIMA	651	99	80.03
11	AC	MANOEL URBANO	158	28	71.52
12	AC	MARECHAL THAUMATURGO	358	39	84.08
13	AC	PLACIDO DE CASTRO	672	99	81.55
14	AC	PORTO ACRE	595	107	73.78
15	AC	PORTO WALTER	127	24	78.74
16	AC	RIBRANCO	1	0	100.00
17	AC	RIO BRACO	1	0	100.00
18	AC	RIO BRANCO	30779	6477	73.74
19	AC	RIO BRANO	1	0	100.00
20	AC	RODRIGUES ALVES	250	38	80.40
21	AC	SANTA ROSA DO PURUS	42	7	83.33
22	AC	SENA MADUREIRA	1431	274	77.15
23	AC	SENADOR GUIOMARD	1298	192	81.59
24	AC	TARAUACA	842	196	72.09
25	AC	XAPURI	717	103	79.78
26	AL	AGUA BRANCA	705	90	86.38
27	AL	ANADIA	329	96	63.53
28	AL	ARAPIRACA	8591	2623	64.61
29	AL	ATALAIA	551	122	71.87
30	AL	BARRA DE SANTO ANTONIO	253	52	71.15
31	AL	BARRA DE SAO MIGUEL	156	31	73.72
32	AL	BATALHA	446	137	64.80
33	AL	BELEM	117	35	64.96
34	AL	BELO MONTE	52	23	53.85
35	AL	BOCA DA MATA	854	207	71.08
36	AL	BRANQUINHA	95	21	72.63
37	AL	CACIMBINHAS	131	45	63.36
38	AL	CAJUEIRO	320	91	70.31
39	AL	CAMPESTRE	51	13	72.55
40	AL	CAMPO ALEGRE	677	154	72.53
41	AL	CAMPO GRANDE	194	42	77.32
42	AL	CANAPI	225	49	76.00
43	AL	CAPELA	287	74	70.38
44	AL	CARNEIROS	87	23	71.26
45	AL	CHA PRETA	113	48	54.87
46	AL	COITE DO NOIA	252	92	61.90
47	AL	COLONIA LEOPOLDINA	315	90	64.44
48	AL	COQUEIRO SECO	125	23	77.60
49	AL	CORURIPE	879	206	69.28
50	AL	CRAIBAS	448	110	74.11
51	AL	DELMIRO GOUVEIA	1958	543	69.36
52	AL	DOIS RIACHOS	183	25	79.23
53	AL	ESTRELA DE ALAGOAS	150	31	76.00
54	AL	FEIRA GRANDE	411	118	67.40
55	AL	FELIZ DESERTO	51	6	82.35
56	AL	FLEXEIRAS	147	31	75.51
57	AL	GIRAU DO PONCIANO	938	108	87.10
58	AL	IBATEGUARA	168	52	60.71
59	AL	IGACI	412	153	57.77
60	AL	IGREJA NOVA	208	41	74.52
61	AL	INHAPI	204	48	74.02
62	AL	JACARE DOS HOMENS	83	15	79.52
63	AL	JACUIPE	51	15	68.63
64	AL	JAPARATINGA	71	21	56.34
65	AL	JARAMATAIA	138	42	68.84
66	AL	JEQUIA DA PRAIA	160	29	74.38
67	AL	JOAQUIM GOMES	280	54	77.14
68	AL	JUNDIA	75	14	76.00
69	AL	JUNQUEIRO	588	176	66.84
70	AL	LAGOA DA CANOA	585	112	77.44
71	AL	LIMOEIRO DE ANADIA	582	175	65.81
72	AL	MACEIO	41118	12380	63.96
73	AL	MACIO	1	0	100.00
74	AL	MAJOR ISIDORO	203	74	59.61
75	AL	MAR VERMELHO	137	40	69.34
76	AL	MARAGOGI	331	82	70.39
77	AL	MARAVILHA	251	73	68.13
78	AL	MARECHAL DEODORO	923	211	70.96
79	AL	MARIBONDO	349	83	73.07
80	AL	MATA GRANDE	170	48	70.59
81	AL	MATRIZ DE CAMARAGIBE	449	94	73.50
82	AL	MESSIAS	383	56	77.28
83	AL	MINADOR DO NEGRAO	58	18	67.24
84	AL	MONTEIROPOLIS	85	20	71.76
85	AL	MURICI	620	142	70.65
86	AL	NOVO LINO	95	19	71.58
87	AL	OLHO D AGUA DAS FLORES	339	84	71.09
88	AL	OLHO D AGUA DO CASADO	133	32	68.42
89	AL	OLHO D AGUA GRANDE	78	19	65.38
90	AL	OLIVENCA	119	38	66.39
91	AL	OURO BRANCO	193	77	53.37
92	AL	PALESTINA	70	8	77.14
93	AL	PALMEIRA DOS INDIOS	2143	709	61.50
94	AL	PAO DE ACUCAR	341	44	82.11
95	AL	PARICONHA	284	57	78.17
96	AL	PARIPUEIRA	296	54	75.34
97	AL	PASSO DE CAMARAGIBE	168	18	82.14
98	AL	PAULO JACINTO	245	88	61.22
99	AL	PENEDO	1566	313	75.16
100	AL	PIACABUCU	282	72	68.09
101	AL	PILAR	667	142	73.46
102	AL	PINDOBA	68	13	79.41
103	AL	PIRANHAS	537	114	73.18
104	AL	POCO DAS TRINCHEIRAS	123	17	84.55
105	AL	PORTO CALVO	400	85	69.00
106	AL	PORTO DE PEDRAS	105	19	77.14
107	AL	PORTO REAL DO COLEGIO	360	62	77.22
108	AL	QUEBRANGULO	294	64	73.81
109	AL	RIO LARGO	2372	543	70.91
110	AL	ROTEIRO	50	7	82.00
111	AL	SANTA LUZIA DO NORTE	214	39	75.70
112	AL	SANTANA DO IPANEMA	1018	362	60.71
113	AL	SANTANA DO MUDAU	1	1	0.00
114	AL	SANTANA DO MUNDAU	185	67	60.00
115	AL	SAO BRAS	141	38	70.92
116	AL	SAO JOSE DA LAJE	502	160	62.35
117	AL	SAO JOSE DA TAPERA	453	79	79.47
118	AL	SAO LUIS DO QUITUNDE	475	95	76.42
119	AL	SAO MIGUEL DOS CAMPOS	1375	307	70.40
120	AL	SAO MIGUEL DOS MILAGRES	60	7	80.00
121	AL	SAO SEBASTIAO	576	264	50.69
122	AL	SATUBA	351	71	73.79
123	AL	SENADOR RUI PALMEIRA	115	28	70.43
124	AL	TANQUE D ARCA	105	25	74.29
125	AL	TAQUARANA	426	87	76.29
126	AL	TEOTONIO VILELA	877	168	74.23
127	AL	TRAIPU	411	71	77.13
128	AL	UNIAO DOS PALMARES	1667	425	67.73
129	AL	VICOSA	879	283	65.19
130	AM	ALVARAES	151	5	95.36
131	AM	AMATURA	240	9	96.25
132	AM	ANAMA	115	12	86.96
133	AM	ANORI	154	33	74.03
134	AM	APUI	236	79	61.86
135	AM	ATALAIA DO NORTE	52	13	71.15
136	AM	AUTAZES	456	70	62.72
137	AM	BARCELOS	217	31	81.57
138	AM	BARREIRINHA	488	36	89.75
139	AM	BENJAMIN CONSTANT	596	43	92.28
140	AM	BERURI	209	21	88.04
141	AM	BOA VISTA DO RAMOS	265	5	97.74
142	AM	BOCA DO ACRE	559	168	66.01
143	AM	BORBA	387	30	89.15
144	AM	CAAPIRANGA	74	7	87.84
145	AM	CANUTAMA	284	53	51.06
146	AM	CARAUARI	189	26	84.13
147	AM	CAREIRO	428	43	85.51
148	AM	CAREIRO DA VARZEA	154	23	79.87
149	AM	COARI	1147	136	83.09
150	AM	CODAJAS	262	42	82.06
151	AM	EIRUNEPE	586	111	79.52
152	AM	ENVIRA	129	45	59.69
153	AM	FONTE BOA	253	20	91.70
154	AM	GUAJARA	303	61	77.89
155	AM	HUMAITA	853	215	63.77
156	AM	IPIXUNA	218	19	88.99
157	AM	IRANDUBA	675	82	84.00
158	AM	ITACOATIARA	2507	360	82.21
159	AM	ITAMARATI	94	9	89.36
160	AM	ITAPIRANGA	187	32	82.35
161	AM	JAPURA	44	9	79.55
162	AM	JURUA	32	2	93.75
163	AM	JUTAI	158	28	76.58
164	AM	LABREA	738	157	76.83
165	AM	MANACAPURU	2712	393	84.11
166	AM	MANAQUIRI	169	12	28.99
167	AM	MANAUS	102836	21395	74.47
168	AM	MANICORE	629	127	77.27
169	AM	MARAA	143	12	90.91
170	AM	MAUES	770	78	87.66
171	AM	NHAMUNDA	408	22	93.87
172	AM	NOVA OLINDA DO NORTE	308	33	84.74
173	AM	NOVO AIRAO	191	22	86.39
174	AM	NOVO ARIPUANA	344	37	87.79
175	AM	PARINTINS	3953	348	85.61
176	AM	PAUINI	146	59	56.85
177	AM	PRESIDENTE FIGUEIREDO	1141	203	80.02
178	AM	RIO PRETO DA EVA	389	61	76.61
179	AM	SANTA ISABEL DO RIO NEGRO	175	4	91.43
180	AM	SANTO ANTONIO DO ICA	252	12	94.84
181	AM	SAO GABRIEL DA CACHOEIRA	837	60	90.20
182	AM	SAO PAULO DE OLIVENCA	229	13	94.32
183	AM	SAO SEBASTIAO DO UATUMA	146	15	89.04
184	AM	SILVES	152	11	92.76
185	AM	TABATINGA	693	129	78.21
186	AM	TAPAUA	538	61	87.92
187	AM	TEFE	1265	132	86.48
188	AM	TONANTINS	196	3	96.94
189	AM	UARINI	142	14	78.17
190	AM	URUCARA	354	39	88.98
191	AM	URUCURITUBA	238	18	90.76
192	AP	AMAPA	183	31	77.05
193	AP	ANTANA	1	0	100.00
194	AP	CALCOENE	99	12	84.85
195	AP	CUTIAS	44	3	90.91
196	AP	FERREIRA GOMES	85	11	84.71
197	AP	ITAUBAL	41	8	78.05
198	AP	LARANJAL DO JARI	1119	172	80.52
199	AP	MACAPA	16636	3630	72.92
200	AP	MAZAGAO	206	29	85.92
201	AP	OIAPOQUE	351	54	78.35
202	AP	PEDRA BRANCA DO AMAPARI	101	14	76.24
203	AP	PORTO GRANDE	262	50	76.72
204	AP	PRACUUBA	23	4	73.91
205	AP	SANTANA	6213	1263	77.11
206	AP	SERRA DO NAVIO	44	6	75.00
207	AP	TARTARUGALZINHO	154	18	85.71
208	AP	VITORIA DO JARI	201	24	83.08
209	BA	ABAIRA	167	56	38.92
210	BA	ABARE	377	45	77.45
211	BA	ACAJUTIBA	324	38	86.42
212	BA	ADUSTINA	318	71	72.01
213	BA	AGUA FRIA	357	18	89.36
214	BA	AIQUARA	119	11	89.92
215	BA	ALAGOINHAS	5005	723	80.12
216	BA	ALCOBACA	469	62	82.30
217	BA	ALMADINA	209	22	85.17
218	BA	AMARGOSA	2119	302	82.07
219	BA	AMELIA RODRIGUES	638	28	91.38
220	BA	AMERICA DOURADA	245	31	81.22
221	BA	ANAGE	333	95	66.37
222	BA	ANDARAI	119	10	85.71
223	BA	ANDORINHA	257	41	80.16
224	BA	ANGICAL	200	39	75.50
225	BA	ANGUERA	211	6	96.68
226	BA	ANTAS	156	57	59.62
227	BA	ANTONIO CARDOSO	163	2	96.93
228	BA	ANTONIO GONCALVES	336	38	78.27
229	BA	APORA	203	51	67.98
230	BA	APUAREMA	158	27	81.65
231	BA	ARACAS	306	31	87.25
232	BA	ARACATU	222	63	70.27
233	BA	ARACI	483	99	75.36
234	BA	ARAMARI	178	13	88.20
235	BA	ARATACA	169	13	91.12
236	BA	ARATUIPE	82	10	85.37
237	BA	AURELINO LEAL	271	21	85.24
238	BA	BAIANOPOLIS	180	28	78.33
239	BA	BAIXA GRANDE	449	39	87.97
240	BA	BANZAE	118	31	70.34
241	BA	BARRA	326	28	86.81
242	BA	BARRA DA ESTIVA	563	140	68.74
243	BA	BARRA DO CHOCA	753	195	68.66
244	BA	BARRA DO MENDES	367	80	67.03
245	BA	BARRA DO ROCHA	136	11	88.24
246	BA	BARREIRAS	5533	1168	72.84
247	BA	BARRO ALTO	269	64	69.14
248	BA	BARRO PRETO	184	14	90.22
249	BA	BARROCAS	158	31	77.85
250	BA	BELMONTE	125	11	84.80
251	BA	BELO CAMPO	321	88	67.91
252	BA	BIRITINGA	175	17	89.71
253	BA	BOA NOVA	228	54	73.68
254	BA	BOA VISTA DO TUPIM	223	6	91.93
255	BA	BOM JESUS DA LAPA	1282	217	78.00
256	BA	BOM JESUS DA SERRA	167	26	80.24
257	BA	BONINAL	167	28	82.63
258	BA	BONITO	323	32	83.59
259	BA	BOQUIRA	452	88	74.34
260	BA	BOTUPORA	319	80	72.41
261	BA	BREJOES	574	65	86.06
262	BA	BREJOLANDIA	101	24	73.27
263	BA	BROTAS DE MACAUBAS	224	73	62.05
264	BA	BRUMADO	2243	925	56.00
265	BA	BUERAREMA	450	48	82.89
266	BA	BURITIRAMA	93	17	76.34
267	BA	CAATIBA	109	25	70.64
268	BA	CABACEIRAS DO PARAGUACU	394	36	88.32
269	BA	CACHOEIRA	1472	134	87.57
270	BA	CACULE	815	234	65.03
271	BA	CAEM	150	19	82.67
272	BA	CAETANOS	94	22	65.96
273	BA	CAETITE	1683	721	51.46
274	BA	CAFARNAUM	267	32	83.90
275	BA	CAIRU	131	18	64.12
276	BA	CALDEIRAO GRANDE	317	35	69.09
277	BA	CAMACAN	987	106	87.03
278	BA	CAMACARI	7341	825	83.14
279	BA	CAMAMU	623	55	86.84
280	BA	CAMPO ALEGRE DE LOURDES	314	65	76.11
281	BA	CAMPO FORMOSO	1577	279	75.08
282	BA	CANAPOLIS	93	31	62.37
283	BA	CANARANA	473	85	74.84
284	BA	CANAVIEIRAS	803	110	81.44
285	BA	CANDEAL	102	18	77.45
286	BA	CANDEIAS	1351	94	86.31
287	BA	CANDIBA	472	125	70.13
288	BA	CANDIDO SALES	520	126	69.23
289	BA	CANSANCAO	343	67	74.34
290	BA	CANUDOS	122	17	76.23
291	BA	CAPELA DO ALTO ALEGRE	176	31	75.00
292	BA	CAPIM GROSSO	570	127	71.58
293	BA	CARAIBAS	163	73	53.37
294	BA	CARAVELAS	311	60	78.14
295	BA	CARDEAL DA SILVA	258	23	86.05
296	BA	CARINHANHA	678	105	81.56
297	BA	CASA NOVA	1307	362	66.79
298	BA	CASTRO ALVES	546	49	88.28
299	BA	CATOLANDIA	48	5	70.83
300	BA	CATU	1487	149	85.14
301	BA	CATURAMA	111	47	57.66
302	BA	CENTRAL	414	95	71.26
303	BA	CHORROCHO	207	9	86.96
304	BA	CICERO DANTAS	559	234	52.24
305	BA	CIPO	442	113	69.68
306	BA	COARACI	941	108	85.23
307	BA	COCOS	196	42	75.00
308	BA	CONCEICAO DA FEIRA	733	40	91.68
309	BA	CONCEICAO DO ALMEIDA	504	40	89.48
310	BA	CONCEICAO DO COITE	1608	320	76.00
311	BA	CONCEICAO DO JACUIPE	940	60	89.04
312	BA	CONDE	321	31	82.87
313	BA	CONDEUBA	278	85	67.63
314	BA	CONTENDAS DO SINCORA	71	17	71.83
315	BA	CORACAO DE MARIA	731	31	92.89
316	BA	CORDEIROS	290	113	58.62
317	BA	CORIBE	241	69	66.39
318	BA	CORONEL JOAO SA	288	63	77.08
319	BA	CORRENTINA	528	128	66.10
320	BA	COTEGIPE	213	51	72.77
321	BA	CRAVOLANDIA	190	31	76.84
322	BA	CRISOPOLIS	256	41	69.92
323	BA	CRISTOPOLIS	302	57	78.48
324	BA	CRUZ DAS ALMAS	4641	452	85.82
325	BA	CURACA	745	95	80.94
326	BA	DARIO MEIRA	171	28	79.53
327	BA	DIAS D AVILA	1500	166	82.27
328	BA	DOM BASILIO	211	128	35.55
329	BA	DOM MACEDO COSTA	127	22	82.68
330	BA	ELISIO MEDRADO	262	44	82.06
331	BA	ENCRUZILHADA	189	21	87.83
332	BA	ENTRE RIOS	971	92	85.38
333	BA	ERICO CARDOSO	139	42	64.75
334	BA	ESPLANADA	405	64	76.79
335	BA	EUCLIDES DA CUNHA	835	160	75.81
336	BA	EUNAPOLI	1	0	100.00
337	BA	EUNAPOLIS	2925	578	75.15
338	BA	FATIMA	439	94	76.54
339	BA	FEIRA DA MATA	151	40	62.91
340	BA	FEIRA DE SANTAN	1	0	100.00
341	BA	FEIRA DE SANTANA	25985	3322	83.58
342	BA	FEIRA DE SNTANA	1	0	100.00
343	BA	FEIRA DESANTANA	1	0	100.00
344	BA	FILADELFIA	454	60	83.04
345	BA	FIRMINO ALVES	131	28	75.57
346	BA	FLORESTA AZUL	181	19	85.08
347	BA	FORMOSA DO RIO PRETO	358	49	79.33
348	BA	GANDU	853	114	82.30
349	BA	GAVIAO	90	16	80.00
350	BA	GENTIO DO OURO	186	45	69.89
351	BA	GLORIA	205	51	69.27
352	BA	GONGOGI	74	10	78.38
353	BA	GOVERNADOR MANGABEIRA	775	56	90.58
354	BA	GUAJERU	232	33	55.60
355	BA	GUANAMBI	3540	1032	66.02
356	BA	GUARATINGA	243	38	77.78
357	BA	HELIOPOLIS	320	75	73.13
358	BA	IACU	342	32	83.63
359	BA	IBIASSUCE	429	136	65.97
360	BA	IBICARAI	587	87	78.88
361	BA	IBICOARA	186	41	72.58
362	BA	IBICUI	238	59	64.71
363	BA	IBIPEBA	272	38	81.99
364	BA	IBIPITANGA	239	100	56.49
365	BA	IBIQUERA	38	2	84.21
366	BA	IBIRAPITANGA	293	23	85.32
367	BA	IBIRAPUA	178	48	65.73
368	BA	IBIRATAIA	341	36	85.63
369	BA	IBITIARA	237	50	71.31
370	BA	IBITITA	452	100	74.34
371	BA	IBOTIRAMA	807	125	80.17
372	BA	ICHU	180	51	65.00
373	BA	IGAPORA	436	196	52.98
374	BA	IGRAPIUNA	252	20	85.32
375	BA	IGUAI	298	69	74.83
376	BA	ILHEUS	10221	1302	82.37
377	BA	INHAMBUPE	640	85	79.06
378	BA	IPECAETA	208	37	78.37
379	BA	IPIAU	1479	191	83.30
380	BA	IPIRA	815	139	79.51
381	BA	IPUPIARA	119	54	42.02
382	BA	IRAJUBA	69	10	79.71
383	BA	IRAMAIA	110	23	68.18
384	BA	IRAQUARA	257	22	89.88
385	BA	IRARA	826	42	92.98
386	BA	IRECE	2962	693	70.53
387	BA	ITABELA	434	63	81.34
388	BA	ITABERABA	1689	225	79.87
389	BA	ITABUNA	10980	1649	80.38
390	BA	ITACARE	419	49	84.01
391	BA	ITAETE	76	8	76.32
392	BA	ITAGI	234	35	77.78
393	BA	ITAGIBA	198	26	82.32
394	BA	ITAGIMIRIM	129	22	76.74
395	BA	ITAGUACU DA BAHIA	147	30	75.51
396	BA	ITAJU DO COLONIA	140	24	80.71
397	BA	ITAJUIPE	765	80	85.36
398	BA	ITAMARAJU	1287	95	90.44
399	BA	ITAMARI	98	13	85.71
400	BA	ITAMBE	599	106	76.79
401	BA	ITANAGRA	79	2	91.14
402	BA	ITANHEM	419	90	74.46
403	BA	ITAPARICA	451	35	89.14
404	BA	ITAPE	199	19	83.42
405	BA	ITAPEBI	95	11	84.21
406	BA	ITAPETINGA	2512	470	76.63
407	BA	ITAPICURU	261	27	85.82
408	BA	ITAPITANGA	201	28	80.10
409	BA	ITAQUARA	102	16	79.41
410	BA	ITARANTIM	145	29	73.10
411	BA	ITARICA	1	0	100.00
412	BA	ITATIM	131	38	67.94
413	BA	ITIRUCU	317	55	79.81
414	BA	ITIUBA	412	54	82.04
415	BA	ITORORO	346	63	76.88
416	BA	ITUACU	334	107	60.48
417	BA	ITUBERA	399	67	78.95
418	BA	IUIU	283	52	78.09
419	BA	JABORANDI	128	26	78.13
420	BA	JACARACI	288	135	48.96
421	BA	JACOBINA	2865	535	75.78
422	BA	JAGUAQUARA	971	215	73.33
423	BA	JAGUARARI	804	197	68.91
424	BA	JAGUARIPE	105	3	91.43
425	BA	JANDAIRA	74	10	74.32
426	BA	JAZEIRO	1	1	0.00
427	BA	JEQUIE	5811	1107	75.63
428	BA	JEREMOABO	510	114	73.33
429	BA	JIQUIRICA	471	53	85.35
430	BA	JITAUNA	318	46	80.82
431	BA	JOAO DOURADO	643	121	74.03
432	BA	JUAZEIRO	10880	2259	73.60
433	BA	JUCURUCU	59	7	88.14
434	BA	JUSSARA	323	67	75.23
435	BA	JUSSARI	91	9	89.01
436	BA	JUSSIAPE	147	58	59.18
437	BA	LAFAIETE COUTINHO	81	14	77.78
438	BA	LAGOA REAL	263	119	31.56
439	BA	LAJE	507	65	83.83
440	BA	LAJEDAO	97	8	85.57
441	BA	LAJEDINHO	28	1	96.43
442	BA	LAJEDO DO TABOCAL	140	36	70.71
443	BA	LAMARAO	75	2	89.33
444	BA	LAPAO	596	94	80.03
445	BA	LAURO DE FREITAS	7167	1091	79.88
446	BA	LENCOIS	209	9	94.26
447	BA	LICINIO DE ALMEIDA	343	113	63.85
448	BA	LIVRAMENTO DE NOSSA SENHORA	931	353	58.54
449	BA	LUIS EDUARDO MAGALHAES	1620	444	66.23
450	BA	MACAJUBA	117	17	84.62
451	BA	MACARANI	276	52	73.55
452	BA	MACAUBAS	893	233	69.20
453	BA	MACURURE	47	10	76.60
454	BA	MADRE DE DEUS	309	17	91.26
455	BA	MAETINGA	154	42	69.48
456	BA	MAIQUINIQUE	144	27	70.83
457	BA	MAIRI	332	60	80.42
458	BA	MALHADA	339	10	90.86
459	BA	MALHADA DE PEDRAS	157	82	47.77
460	BA	MANOEL VITORINO	201	59	66.67
461	BA	MANSIDAO	118	7	86.44
462	BA	MARACAS	678	124	74.93
463	BA	MARAGOGIPE	709	64	84.06
464	BA	MARAU	163	14	86.50
465	BA	MARCIONILIO SOUZA	220	19	80.91
466	BA	MASCOTE	166	21	80.12
467	BA	MATA DE SAO JOAO	685	47	87.88
468	BA	MATINA	258	56	71.32
469	BA	MEDEIROS NETO	465	123	69.46
470	BA	MIGUEL CALMON	695	120	78.85
471	BA	MILAGRES	309	65	74.43
472	BA	MIRANGABA	159	22	81.13
473	BA	MIRANTE	104	47	54.81
474	BA	MONTE SANTO	701	305	51.36
475	BA	MORPARA	149	24	75.84
476	BA	MORRO DO CHAPEU	679	113	76.73
477	BA	MORTUGABA	157	51	65.61
478	BA	MUCUGE	185	28	82.70
479	BA	MUCURI	1002	218	72.55
480	BA	MULUNGU DO MORRO	140	9	86.43
481	BA	MUNDO NOVO	358	51	81.28
482	BA	MUNIZ FERREIRA	166	21	85.54
483	BA	MUQUEM DE SAO FRANCISCO	132	13	84.85
484	BA	MURITIBA	1058	91	88.66
485	BA	MUTUIPE	1191	169	83.88
486	BA	NAZARE	518	58	85.14
487	BA	NILO PECANHA	126	11	80.95
488	BA	NORDESTINA	97	20	61.86
489	BA	NOVA CANAA	388	62	81.19
490	BA	NOVA FATIMA	209	21	87.08
491	BA	NOVA IBIA	95	11	69.47
492	BA	NOVA ITARANA	115	27	70.43
493	BA	NOVA REDENCAO	119	11	85.71
494	BA	NOVA SOURE	393	70	77.35
495	BA	NOVA VICOSA	768	142	75.13
496	BA	NOVO HORIZONTE	116	34	67.24
497	BA	NOVO TRIUNFO	80	28	61.25
498	BA	OLINDINA	239	33	79.08
499	BA	OLIVEIRA DOS BREJINHOS	414	91	74.40
500	BA	OURICANGAS	178	7	93.82
501	BA	OUROLANDIA	167	25	73.05
502	BA	PALMAS DE MONTE ALTO	683	138	75.40
503	BA	PALMEIRAS	160	20	78.75
504	BA	PARAMIRIM	663	182	68.78
505	BA	PARATINGA	520	42	77.69
506	BA	PARIPIRANGA	671	190	67.21
507	BA	PAU BRASIL	376	46	86.17
508	BA	PAULO AFONSO	3311	894	66.57
509	BA	PE DE SERRA	309	71	69.58
510	BA	PEDRAO	108	3	96.30
511	BA	PEDRO ALEXANDRE	79	9	79.75
512	BA	PIATA	293	78	66.21
513	BA	PILAO ARCADO	210	43	72.86
514	BA	PINDAI	448	77	78.13
515	BA	PINDOBACU	511	63	83.17
516	BA	PINTADAS	251	18	90.84
517	BA	PIRAI DO NORTE	81	10	75.31
518	BA	PIRIPA	198	43	77.78
519	BA	PIRITIBA	286	64	73.78
520	BA	PLANALTINO	71	12	77.46
521	BA	PLANALTO	382	102	68.59
522	BA	POCOES	1461	350	70.36
523	BA	POJUCA	1268	124	84.70
524	BA	PONTO NOVO	355	43	83.66
525	BA	PORTO SEGURO	2461	453	75.62
526	BA	POTIRAGUA	161	20	74.53
527	BA	PRADO	421	49	84.32
528	BA	PRESIDENTE DUTRA	423	104	70.45
529	BA	PRESIDENTE JANIO QUADROS	183	85	48.63
530	BA	PRESIDENTE TANCREDO NEVES	607	72	82.04
531	BA	QUEIMADAS	277	57	74.37
532	BA	QUIJINGUE	315	26	88.25
533	BA	QUIXABEIRA	78	10	74.36
534	BA	RAFAEL JAMBEIRO	230	37	80.43
535	BA	REMANSO	972	252	69.24
536	BA	RETIROLANDIA	249	63	71.89
537	BA	RIACHAO DAS NEVES	337	37	79.82
538	BA	RIACHAO DO JACUIPE	1116	200	78.67
539	BA	RIACHO DE SANTANA	995	341	59.90
540	BA	RIACHO DEANTANA	1	0	100.00
541	BA	RIBEIRA DO AMPARO	183	20	83.61
542	BA	RIBEIRA DO POMBAL	657	186	66.67
543	BA	RIBEIRAO DO LARGO	88	16	79.55
544	BA	RIO DE CONTAS	279	120	51.25
545	BA	RIO DO ANTONIO	275	128	46.91
546	BA	RIO DO PIRES	188	74	57.98
547	BA	RIO REAL	997	201	76.93
548	BA	RODELAS	222	49	76.13
549	BA	RUY BARBOSA	533	71	82.74
550	BA	RUYBARBOSA	1	0	100.00
551	BA	SALINAS DA MARGARIDA	187	4	95.72
552	BA	SALVADOR	114675	14585	82.67
553	BA	SANTA ARIA DA VITORIA	1	0	100.00
554	BA	SANTA BARBARA	303	26	88.12
555	BA	SANTA BRIGIDA	201	47	71.64
556	BA	SANTA CRUZ CABRALIA	393	55	81.17
557	BA	SANTA CRUZ DA VITORIA	123	16	85.37
558	BA	SANTA INES	400	62	81.25
559	BA	SANTA LUZIA	158	14	89.87
560	BA	SANTA MARIA DA VITORIA	775	202	68.39
561	BA	SANTA RITA DE CASSIA	422	80	76.30
562	BA	SANTA TERESINHA	233	32	83.69
563	BA	SANTALUZ	832	114	78.61
564	BA	SANTANA	384	92	67.97
565	BA	SANTANOPOLIS	142	9	90.14
566	BA	SANTO AMARO	1239	54	91.36
567	BA	SANTO ANTONIO DE JESUS	5015	825	80.40
568	BA	SANTO ESTEVAO	1192	137	85.99
569	BA	SAO DESIDERIO	303	56	75.91
570	BA	SAO DOMINGOS	158	40	70.25
571	BA	SAO FELIPE	643	88	81.96
572	BA	SAO FELIX	429	11	94.17
573	BA	SAO FELIX DO CORIBE	311	87	66.56
574	BA	SAO FRANCISCO DO CONDE	490	12	91.63
575	BA	SAO GABRIEL	541	101	75.42
576	BA	SAO GONCALO DOS CAMPOS	1197	50	93.32
577	BA	SAO JOSE DA VITORIA	102	4	85.29
578	BA	SAO JOSE DO JACUIPE	109	25	75.23
579	BA	SAO MIGUEL DAS MATAS	206	50	74.27
580	BA	SAO SEBASTIAO DO PASSE	716	49	88.83
581	BA	SAPEACU	727	51	89.68
582	BA	SATIRO DIAS	225	31	81.33
583	BA	SAUBARA	150	5	94.00
584	BA	SAUDE	251	27	82.87
585	BA	SEABRA	985	144	81.83
586	BA	SEBASTIAO LARANJEIRAS	220	47	72.73
587	BA	SENHOR DO BONFIM	3553	643	74.89
588	BA	SENTO SE	437	120	68.19
589	BA	SERRA DO RAMALHO	275	66	69.09
590	BA	SERRA DOURADA	163	38	74.23
591	BA	SERRA PRETA	361	20	92.52
592	BA	SERRINHA	1929	335	76.72
593	BA	SERROLANDIA	270	40	80.00
594	BA	SIMOES FILHO	3745	271	87.61
595	BA	SITIO DO MATO	111	15	81.98
596	BA	SITIO DO QUINTO	198	37	80.30
597	BA	SOBRADINHO	933	187	73.53
598	BA	SOUTO SOARES	129	20	79.07
599	BA	TABOCAS DO BREJO VELHO	117	12	80.34
600	BA	TANHACU	228	66	69.30
601	BA	TANQUE NOVO	370	110	68.38
602	BA	TANQUINHO	168	15	85.12
603	BA	TAPEROA	307	24	88.60
604	BA	TAPIRAMUTA	396	27	91.92
605	BA	TEIXEIRA DE FREITAS	4611	1000	72.59
606	BA	TEODORO SAMPAIO	220	3	87.73
607	BA	TEOFILANDIA	233	40	79.40
608	BA	TEOLANDIA	256	27	84.38
609	BA	TERRA NOVA	281	11	91.46
610	BA	TREMEDAL	150	49	64.00
611	BA	TUCANO	1157	362	62.14
612	BA	UAUA	642	144	68.85
613	BA	UBAIRA	667	94	83.81
614	BA	UBAITABA	513	55	84.99
615	BA	UBATA	504	44	87.70
616	BA	UIBAI	433	82	73.44
